"","dates","IDW","OK","IED","KED"
"69",1975-09-01,9.70993916706253,16.9231220968641,23.1514354822333,25.7869543498702
"70",1975-10-01,27.9941497999438,27.5805973746456,46.134997753433,46.7121817015717
"71",1975-11-01,26.8372875900059,32.4979238425181,43.1094941002537,43.6453108217305
"72",1975-12-01,40.4313519130631,41.5792137026947,62.2564021104167,51.4387102178308
"73",1976-01-01,152.087590322997,164.91337690039,195.327264058622,204.205006945199
"74",1976-02-01,147.997972588409,150.294091252581,192.023299940383,194.351373626212
"75",1976-03-01,114.603017150387,120.907471578165,157.265235371509,151.427463392918
"76",1976-04-01,26.8883255819455,28.0336970129565,45.7247180596433,47.2698225824685
"77",1976-05-01,3.88582754657259,5.87289980369378,10.0060418619465,7.63321691212013
"78",1976-06-01,8.335650847534,8.29236637243292,12.1396549475374,12.2625876818517
"79",1976-07-01,0.616504757704223,0.9625,1.53946710961561,1.92449153779221
"80",1976-08-01,2.71259229638655,3.10506217442932,5.90226171461215,6.78474991192952
"81",1976-09-01,10.8511337622906,11.9596371532582,16.6925760099151,16.3255128603656
"82",1976-10-01,1.52082945496682,2.84613094432277,4.16629072027775,4.75028558706756
"83",1976-11-01,4.7163921089994,8.89061019715027,12.3105125946025,14.7409406894343
"84",1976-12-01,46.6663173968924,43.1201090210325,71.0851236082651,70.7751330393028
"85",1977-01-01,75.9481831758172,90.5335291255971,114.185349261009,100.07441487581
"86",1977-02-01,141.400563595764,135.526760040541,173.534511553808,168.714881121661
"87",1977-03-01,99.4015254944617,98.4746294216751,123.875318897797,135.42205647092
"88",1977-04-01,22.1180906380337,27.6841891020273,46.1096915967229,50.7966642456717
"89",1977-05-01,20.7799140900652,26.9090178837044,35.503787655627,39.5313458448511
"90",1977-06-01,0.54929351555639,0.929394616758317,1.73905996072188,1.4549344791567
"91",1977-07-01,1.25292944292789,1.57554894867422,2.52969101930436,2.27060994241145
"92",1977-08-01,0.198657874312314,0.364462357111727,0.555279602317346,0.620821334915999
"93",1977-09-01,9.75900933112888,10.9134568444411,17.4608723044331,18.1607934413551
"94",1977-10-01,10.0452334041955,14.9482363445594,21.2800607549954,24.6168065509791
"95",1977-11-01,61.0242971783979,76.2562684583318,110.525121769138,103.927243075192
"96",1977-12-01,73.9288075588123,67.2919417477445,111.280247551246,104.929140856721
"97",1978-01-01,55.5588622694708,58.1547402810661,76.3598494970109,76.056536336951
"98",1978-02-01,116.587581155382,124.355391129248,167.626027886487,156.99141645886
"99",1978-03-01,53.3649908084972,54.2862608569498,67.0519479386555,66.4128627873254
"100",1978-04-01,24.1437208282951,27.8968453995948,37.710276718249,35.4537348551392
"101",1978-05-01,1.92290871978063,3.46074390972381,6.29871630518546,6.11800217031735
"102",1978-06-01,0,0,0,0
"103",1978-07-01,5.63055830353998,6.01080287866422,8.89547631213096,7.77537501444181
"104",1978-08-01,2.7213346913123,2.7923140924055,3.74938603217658,3.56896814545704
"105",1978-09-01,16.4427092817456,15.3267765113336,31.9514490572035,33.2261474839292
"106",1978-10-01,34.6434573312672,41.7015593388788,54.8420903024073,53.1952928815491
"107",1978-11-01,44.2854698038544,51.6849225415796,67.287638188745,62.9646864728363
"108",1978-12-01,43.8907800662398,44.4989026804154,59.9546865509116,62.0867907975894
"109",1979-01-01,41.2169187131075,47.5451040283444,64.5973459094244,61.6598704758917
"110",1979-02-01,99.0004065595902,107.941944767251,147.828392678625,134.156911713749
"111",1979-03-01,152.508761236526,142.381380566919,196.245125133123,186.448700131371
"112",1979-04-01,47.0119131705843,47.2015919252818,74.2639230794268,70.9839673579765
"113",1979-05-01,5.73139192014216,8.31954040535088,13.7670923276775,10.9484731792183
"114",1979-06-01,0.0136847204406744,0.0521396580999952,0.0552298662845645,0.0442957808939716
"115",1979-07-01,0.00273694408813487,0.0104279316207377,0.0110459732569129,0.00885915617882515
"116",1979-08-01,0.21348163887452,0.40720428303644,0.861585914039206,0.691014042173648
"117",1979-09-01,6.52214584723311,8.81991906695792,14.1487364370016,14.3897947551319
"118",1979-10-01,12.6525181563166,14.784561642362,17.0046184543019,19.7521332259783
"119",1979-11-01,10.1277941457097,12.9566714763047,21.6236427319367,25.4216336794962
"120",1979-12-01,10.9620521146981,15.2797867855708,24.4867750292402,26.5330984145439
"121",1980-01-01,65.3533829597137,82.3515513937639,98.6553181563665,96.3356841651664
"122",1980-02-01,51.5624447784922,56.4166370581509,79.0581865740344,76.5586576931127
"123",1980-03-01,78.8702181581826,73.5772463567357,119.670588564584,115.344798598086
"124",1980-04-01,11.8882663960157,14.6034105188351,21.3630536147677,19.352235292581
"125",1980-05-01,1.73642360914228,3.11935743707865,5.23099241615186,5.60679252506464
"126",1980-06-01,0.333865191727284,0.618188705487097,0.924953444659543,1.04300257058574
"127",1980-07-01,0.2725888058496,0.504593970243059,0.813445275964298,0.853997275721311
"128",1980-08-01,0.811224270820591,1.50597717700333,3.20010130268867,2.57816963908446
"129",1980-09-01,2.758223845231,3.17301373543075,4.90393303540145,4.63154365571577
"130",1980-10-01,89.7722534474236,98.7862348475887,126.963846913962,120.638822856311
"131",1980-11-01,60.6753024968654,66.3351573597551,96.2428575524417,92.4182476033711
"132",1980-12-01,67.629870978973,79.9354398419414,107.441734865225,103.829741287481
"133",1981-01-01,94.4765695499488,105.229627016125,138.292460199175,125.753749837656
"134",1981-02-01,159.674420564346,166.582577913881,211.31457340202,206.47906867935
"135",1981-03-01,128.078757459614,121.241400796952,175.504437493932,171.076016093018
"136",1981-04-01,6.51528628672555,10.5039121835937,9.6954838286909,10.7612590397382
"137",1981-05-01,0.503597712216816,0.955795527175673,2.03245907927197,1.63007453076262
"138",1981-06-01,0.0711605462915067,0.14283207438153,0.287195304679735,0.230338060074254
"139",1981-07-01,0.0821083226440462,0.162506026268597,0.331379197707387,0.265774684188328
"140",1981-08-01,6.659450432496,7.46372076031888,12.6057672086719,12.986317303371
